cpus=12
 template_target-851439 [006] ...1. 1990798.410884: funcgraph_entry:        0.753 us   |  mutex_unlock();
 template_target-851439 [006] ...1. 1990798.411338: funcgraph_entry:        0.099 us   |  up_read();
 template_target-851439 [006] d..1. 1990798.411338: funcgraph_entry:        0.093 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411339: funcgraph_entry:        0.175 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411339: funcgraph_entry:                   |  handle_mm_fault() {
          <idle>-0     [008] .N.2. 1990798.411341: funcgraph_exit:       ! 326.458 us |  }
          <idle>-0     [008] .N.2. 1990798.411342: funcgraph_entry:        1.292 us   |  cpuidle_reflect();
          <idle>-0     [008] .N.2. 1990798.411344: funcgraph_entry:        0.451 us   |  arch_cpu_idle_exit();
          <idle>-0     [008] .N.2. 1990798.411345: funcgraph_entry:                   |  tick_nohz_idle_exit() {
 template_target-851439 [006] ...1. 1990798.411346: funcgraph_exit:         6.341 us   |  }
 template_target-851439 [006] d..1. 1990798.411346: funcgraph_entry:        0.096 us   |  fpregs_assert_state_consistent();
          <idle>-0     [008] .N.2. 1990798.411347: funcgraph_exit:         1.467 us   |  }
 template_target-851439 [006] ...1. 1990798.411347: funcgraph_entry:        0.186 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411347: funcgraph_entry:                   |  handle_mm_fault() {
          <idle>-0     [008] .N.2. 1990798.411347: funcgraph_entry:                   |  flush_smp_call_function_queue() {
 template_target-851439 [006] ...1. 1990798.411354: funcgraph_exit:         6.646 us   |  }
 template_target-851439 [006] d..1. 1990798.411354: funcgraph_entry:        0.096 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411356: funcgraph_entry:        0.196 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411357: funcgraph_entry:        2.350 us   |  handle_mm_fault();
